,product_index,name,n_reviews,price,brand,img_url,details,star_rating,product_url,sentiment_rf_feature0,contribution_rf_feature0,sentiment_rf_feature1,contribution_rf_feature1,sentiment_rf_feature2,contribution_rf_feature2,sentiment_rf_feature3,contribution_rf_feature3
4173,4174,The Art of SunsOut Volume # 3 Fall / Holiday - Adult Coloring Book: A Coloring Book for Artistic Adults,19,25.65,SUNSOUT INC,https://images-na.ssl-images-amazon.com/images/I/81IzXzjs-pL._SL1500_.jpg,"'Adult Coloring Book for the Artistic Adult. 32 Pages, thick and perforated, high quality and easy to remove. Various Artist Images to color, use pens or pencils'",3.5,https://amazon.com/Wizard-1000-Piece-Jigsaw-Puzzle-Sunsout/dp/B00064429K,-0.3630555555555555,3.0,0.31790555555555555,6.0,0.28384,3.0,0.49763636363636365,11.0
4174,4175,Ravensburger Fire Dragon,26,39.95,Ravensburger,https://images-na.ssl-images-amazon.com/images/I/81vGCdCLtlL._SL1296_.jpg,"'Ravensburger puzzles are made in Germany from the highest quality and thickest green Kappa cardboard available. Pieces have a nice matted finish which makes them easy to see and handle. Builds small motor skills, picture recognition, and task completion. Promotes cooperative as well as independent play', ""Ravensburger's popular trademark is found on every box, the blue triangle, which American consumers value as a sign of quality for over 125 years""",3.3,https://amazon.com/Ravensburger-78000-Fire-Dragon/dp/B00005S0JJ,0.3412,1.0,0.271487037037037,9.0,0.19711875,4.0,0.49358928571428573,14.0
4175,4176,"Cobblehill 80141 1000 pc Village Tree Puzzle, Various",1,19.97,Cobblehill,nan,"'High Quality Jigsaw puzzle. 1000 piece puzzle. Suitable for the whole family. Easy to do, no instructions required.'",5.0,https://amazon.com/Cobble-Hill-80141-Village-Tree/dp/B07D17SGG8,,0.0,,0.0,,0.0,,0.0
4176,4177,Bits and Pieces - 1000 Piece Jigsaw Puzzle for Adults - Santa's Woodland Friends - 1000 pc Christmas Holiday Animals Jigsaw by Artist Ruane Manning,3,0.0,nan,https://images-na.ssl-images-amazon.com/images/I/715jFwV3WbL._SL1000_.jpg,"'This contains a 1000 piece jigsaw puzzle designed by Ruane Manning Our Jigsaw Puzzles are made with recycled cardboard Die-cut puzzle pieces are easy to handle - and no two are alike. Our 1000 Piece Puzzles are exciting and challenging to put together Bits And Pieces exceptional jigsaw collection provides original and intriguing gifts for any interest, age or ability Puzzle size is 20"" x 27"" when completed.'",3.0,https://amazon.com/Bits-Pieces-Woodland-Friends-Christmas/dp/B076HYMKMP,,0.0,0.32395,2.0,-0.35995,2.0,-0.4767,1.0
4177,4178,Saint Basil's Cathedral,1,25.74,D-Toys,nan,'Pieces: 1000. Age: 12+. Theme: Churches. Puzzle Type: Jigsaw Puzzle',3.0,https://amazon.com/D-Toys-Saint-Basils-Cathedral/dp/B01DPULLP4,,0.0,,0.0,-0.2912,1.0,,0.0
4178,4179,Ravensburger in Paradise Jigsaw Puzzle (1000 Piece),2,36.99,Ravensburger,https://images-na.ssl-images-amazon.com/images/I/81MUfctqo9L._SL1302_.jpg,"'Piece count: 1000. Age-appropriate in motif, Part number and Part size. Age: from 14 years'",3.4,https://amazon.com/Ravensburger-Paradise-Jigsaw-Puzzle-Piece/dp/B013NN0F14,,0.0,0.78755,1.0,-0.3164,1.0,-0.1695,1.0
4179,4180,Halloween Costume Contest 1000 pc Jigsaw Puzzle -Halloween Pets Theme- by SunsOut,8,0.0,nan,https://images-na.ssl-images-amazon.com/images/I/81tiNfZCEIL._SL1024_.jpg,'Halloween Costume Contest 1000 pc Jigsaw Puzzle -Halloween Pets theme- by SunsOut. 1000 pc Jigsaw Puzzle - Completed Size: 20x27. Puzzle Artist: Lori Schory. Eco-Friendly - Soy-Based Inks - Recycled Board - Made in the USA. Interlocking Pieces & Durable Construction',5.0,https://amazon.com/Halloween-Costume-Contest-Halloween-SunsOut/dp/B0128U84W0,,0.0,0.7110000000000001,2.0,0.39994999999999997,2.0,0.6237833333333332,5.0
4180,4181,3310-39 Thomas Kinkade - Lovelight Cottage Puzzle - 1000 Piece,4,0.0,nan,nan,"'1000 piece puzzle. Puzzle assembled is 27 x 20"". High gloss image on package for reference', ""Collect all styles in your favorite artist's collection"", 'Made in the USA'",3.8,https://amazon.com/3310-39-Thomas-Kinkade-Lovelight-Cottage/dp/B00SOG1KUG,,0.0,0.6808,1.0,,0.0,,0.0
4181,4182,Ceaco Wolves - Winter Wolves Puzzle,4,20.27,Ceaco,https://images-na.ssl-images-amazon.com/images/I/81IihaKsU6L._SL1500_.jpg,"'1000 piece puzzle. Puzzle assembled is 27 x 20"". High gloss image on package for reference', ""Collect all styles in your favorite artist's collection"", 'Made in the USA'",4.5,https://amazon.com/Ceaco-Wolves-Winter-Puzzle/dp/B00SOG11TQ,,0.0,,0.0,,0.0,0.5994,2.0
4182,4183,The Litttle Artist Jigsaw Puzzle - Painting Theme - 1000 pc Jigsaw Puzzle by SunsOut,2,23.28,SUNSOUT INC,https://images-na.ssl-images-amazon.com/images/I/81NMEp9vFFL._SL1150_.jpg,'The Litttle Artist Jigsaw Puzzle - Painting theme - 1000 pc Jigsaw Puzzle by SunsOut. 1000 Piece Puzzle - Completed Size: 23x28. Puzzle Artist: Melinda Byers. Eco-Friendly - Soy-Based Inks - Recycled Board - Made in the USA. Interlocking Pieces & Durable Construction',5.0,https://amazon.com/Litttle-Artist-Jigsaw-Puzzle-Painting/dp/B00SI5RX6I,,0.0,0.7964,1.0,0.9565,1.0,,0.0
